id,grazing_plan,Ilngwesi,Kalama,lekurruki,meibae ,Melako,Nakuprat_Gotu,namunyak,sera,westgate
1,No,0.26,0.43,0.02,0.02,0.53,0.5,0.12,0.2,0.2
2,Somewhat,0.7,0.49,0.97,0.98,0.47,0.47,0.87,0.77,0.78
3,Very,0,0,0,0,0,0,0,0,0
4,Dont Know,0.03,0.08,0.01,0,0.01,0.03,0.01,0.03,0.02
