grazing_plan,Ilngwesi,Kalama,lekurruki,meibae ,Melako,Nakuprat_Gotu,namunyak,sera,westgate
No, 0.26 , 0.43 , 0.02 , 0.02 , 0.53 , 0.50 , 0.12 , 0.20 , 0.20 
Somewhat, 0.70 , 0.49 , 0.97 , 0.98 , 0.47 , 0.47 , 0.87 , 0.77 , 0.78 
Very, -   , -   , -   , -   , -   , -   , -   , -   , -   
Dont Know, 0.03 , 0.08 , 0.01 , -   , 0.01 , 0.03 , 0.01 , 0.03 , 0.02 
