,X,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,county,hhuid,index.y,benefits_received,benefits_received1,benefits_received2,benefits_received3,benefits_received4,benefit_rank1,benefit_rank2,benefit_rank3,fair_distributed,opinion_represented,ccy_satisfaction,ccy_communication,communication_neighbours,receive_info1,receive_info2,receive_info3,receive_info4,receive_info5,receive_info6,receive_info7,receive_info8,other_communication,trust_revenue,support_traditional,received_bursary,other_got_bursary,transport_impact,transport_satisfaction,security_impact,security_satisfaction,bursaries_impact,bursaries_satisfaction,medical_impact,medical_satisfaction,rangelands_impact,rangelands_satisfaction,beadwork_impact,beadwork_satisfaction,mfi_impact,mfi_satsifaction,other_positive,other_positive_impact,other_satisfaction,neg_conservation_impact,neg_conservation_satisfaction,neg_security_impact,neg_security_satisfaction,neg_rangelands_impact,neg_rangelands_satisfaction,neg_other,neg_other_impact,neg_other.satisfaction,transport_impact1,transport_improve,security_impact1,security_improve,bursaries_impact1,bursaries_improve,medical_impact1,medical_improve,rangelands_impact1,rangelands_improve,beadwork_impact1,beadwork_improve,mfi_impact1,mfi_improve,conservation_impact1,conservation_improve,other_impact1,other_improve,general_wellbeing,agm,ccy_permenant_employ,ccy_casual_employ
558,558,lkisin010,7,24/06/15,namunyak,ngilai west,lkisin,lkisin,baseline,NRT,Samburu,7,7,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,1,3,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
559,559,lkisin010,7,24/06/15,namunyak,ngilai west,lkisin,lkisin,baseline,NRT,Samburu,7,7,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,1,3,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
560,560,lkisin011,116,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,116,116,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,98,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,98,98,1,2,3,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
561,561,lkisin011,116,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,116,116,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,98,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,98,98,1,2,3,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
562,562,lkisin011,116,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,809,116,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,98,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,98,98,1,2,3,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
563,563,lkisin011,116,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,809,116,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,98,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,98,98,1,2,3,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
564,564,lkisin012,117,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,117,117,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,1,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,1,2,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
565,565,lkisin012,117,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,117,117,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,1,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,1,2,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
566,566,lkisin012,117,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,810,117,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,1,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,1,2,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
567,567,lkisin012,117,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,810,117,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,1,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,1,2,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
568,568,lkisin013,118,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,811,118,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,98,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,2,3,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
569,569,lkisin013,118,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,811,118,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,98,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,2,3,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
570,570,lkisin013,118,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,118,118,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,98,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,2,3,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
571,571,lkisin013,118,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,118,118,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,98,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,2,3,2,3,2,3,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1
572,572,lkisin014,119,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,812,119,4,NA,NA,NA,NA,NA,NA,NA,98,98,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,98,98,2,2,3,2,1,1,2,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
573,573,lkisin014,119,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,812,119,4,NA,NA,NA,NA,NA,NA,NA,98,98,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,98,98,2,2,3,2,1,1,2,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
574,574,lkisin014,119,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,119,119,4,NA,NA,NA,NA,NA,NA,NA,98,98,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,98,98,2,2,3,2,1,1,2,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
575,575,lkisin014,119,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,119,119,4,NA,NA,NA,NA,NA,NA,NA,98,98,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,98,98,2,2,3,2,1,1,2,2,3,2,2,3,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
576,576,lkisin025,120,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,120,120,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,1,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,1,3,2,3,2,3,2,3,2,3,2,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,98,1,1
577,577,lkisin025,120,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,120,120,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,1,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,1,3,2,3,2,3,2,3,2,3,2,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,98,1,1
578,578,lkisin025,120,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,813,120,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,1,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,1,3,2,3,2,3,2,3,2,3,2,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,98,1,1
579,579,lkisin025,120,24/06/15,namunyak,ngilai ,lkisin,lkisin,baseline,NRT,Samburu,813,120,1,NA,NA,NA,NA,NA,NA,NA,98,98,1,1,98,NA,NA,NA,NA,NA,NA,NA,NA,no  infromation,1,98,1,1,3,2,3,2,3,2,3,2,3,2,3,2,NA,NA,NA,NA,NA,1,2,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,98,1,1
580,580,loigama001,268,23/06/15,namunyak,liogama,liogama,loigama,baseline,NRT,Samburu,268,268,2,4,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,NA,NA,1,1,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
581,581,loigama001,268,23/06/15,namunyak,liogama,liogama,loigama,baseline,NRT,Samburu,268,268,2,4,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,NA,NA,1,1,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
582,582,loigama001,268,23/06/15,namunyak,liogama,liogama,loigama,baseline,NRT,Samburu,961,268,2,4,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,NA,NA,1,1,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
583,583,loigama001,268,23/06/15,namunyak,liogama,liogama,loigama,baseline,NRT,Samburu,961,268,2,4,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,NA,NA,1,1,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
584,584,loigama002,269,23/06/15,namunyak,liogama,liogama,loigama,baseline,NRT,Samburu,269,269,4,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,3,3,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
585,585,loigama002,269,23/06/15,namunyak,liogama,liogama,loigama,baseline,NRT,Samburu,269,269,4,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,3,3,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
586,586,loigama002,269,23/06/15,namunyak,liogama,liogama,loigama,baseline,NRT,Samburu,962,269,4,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,3,3,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
587,587,loigama002,269,23/06/15,namunyak,liogama,liogama,loigama,baseline,NRT,Samburu,962,269,4,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,3,3,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
588,588,loigama003,270,23/06/15,namunyak,liogama,liogama,loigama,baseline,NRT,Samburu,963,270,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,3,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2
589,589,loigama003,270,23/06/15,namunyak,liogama,liogama,loigama,baseline,NRT,Samburu,963,270,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,3,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2
590,590,loigama003,270,23/06/15,namunyak,liogama,liogama,loigama,baseline,NRT,Samburu,270,270,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,3,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2
591,591,loigama003,270,23/06/15,namunyak,liogama,liogama,loigama,baseline,NRT,Samburu,270,270,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,3,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2
592,592,loitoriori001,40,25/06/15,namunyak,sereolipi,sereolipi,loitoriori,baseline,NRT,Samburu,40,40,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,2,2,2,3,3,1,1,3,3,3,3,NA,NA,NA,2,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1
593,593,loitoriori001,40,25/06/15,namunyak,sereolipi,sereolipi,loitoriori,baseline,NRT,Samburu,40,40,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,2,2,2,3,3,1,1,3,3,3,3,NA,NA,NA,2,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1
594,594,loitoriori001,40,25/06/15,namunyak,sereolipi,sereolipi,loitoriori,baseline,NRT,Samburu,733,40,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,2,2,2,3,3,1,1,3,3,3,3,NA,NA,NA,2,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1
595,595,loitoriori001,40,25/06/15,namunyak,sereolipi,sereolipi,loitoriori,baseline,NRT,Samburu,733,40,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,2,2,2,3,3,1,1,3,3,3,3,NA,NA,NA,2,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1
596,596,loitoriori002,41,25/06/15,namunyak,sereolipi,sereolipi,loitoriori,baseline,NRT,Samburu,41,41,3,4,NA,NA,NA,NA,NA,NA,2,2,3,2,NA,2,3,4,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,1,1,1,1,3,3,1,1,3,3,3,3,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
597,597,loitoriori002,41,25/06/15,namunyak,sereolipi,sereolipi,loitoriori,baseline,NRT,Samburu,41,41,3,4,NA,NA,NA,NA,NA,NA,2,2,3,2,NA,2,3,4,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,1,1,1,1,3,3,1,1,3,3,3,3,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
598,598,loitoriori002,41,25/06/15,namunyak,sereolipi,sereolipi,loitoriori,baseline,NRT,Samburu,734,41,3,4,NA,NA,NA,NA,NA,NA,2,2,3,2,NA,2,3,4,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,1,1,1,1,3,3,1,1,3,3,3,3,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
599,599,loitoriori002,41,25/06/15,namunyak,sereolipi,sereolipi,loitoriori,baseline,NRT,Samburu,734,41,3,4,NA,NA,NA,NA,NA,NA,2,2,3,2,NA,2,3,4,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,1,1,1,1,3,3,1,1,3,3,3,3,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
600,600,loitoriori003,42,25/06/15,namunyak,sereolipi,sereolipi,loitoriori,baseline,NRT,Samburu,735,42,3,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,98,2,1,2,1,1,1,1,1,1,3,3,1,1,3,3,3,3,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2
601,601,loitoriori003,42,25/06/15,namunyak,sereolipi,sereolipi,loitoriori,baseline,NRT,Samburu,735,42,3,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,98,2,1,2,1,1,1,1,1,1,3,3,1,1,3,3,3,3,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2
602,602,loitoriori003,42,25/06/15,namunyak,sereolipi,sereolipi,loitoriori,baseline,NRT,Samburu,42,42,3,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,98,2,1,2,1,1,1,1,1,1,3,3,1,1,3,3,3,3,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2
603,603,loitoriori003,42,25/06/15,namunyak,sereolipi,sereolipi,loitoriori,baseline,NRT,Samburu,42,42,3,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,98,2,1,2,1,1,1,1,1,1,3,3,1,1,3,3,3,3,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2
604,604,lolkeresire001,85,26/06/15,namunyak,ngilai west,golgoltim,lolkeresire,baseline,NRT,Samburu,85,85,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,98,3,4,NA,NA,NA,NA,NA,NA,NA,98,1,1,2,2,2,2,2,3,3,1,2,3,2,2,2,3,3,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
605,605,lolkeresire001,85,26/06/15,namunyak,ngilai west,golgoltim,lolkeresire,baseline,NRT,Samburu,85,85,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,98,3,4,NA,NA,NA,NA,NA,NA,NA,98,1,1,2,2,2,2,2,3,3,1,2,3,2,2,2,3,3,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
606,606,lolkeresire001,85,26/06/15,namunyak,ngilai west,golgoltim,lolkeresire,baseline,NRT,Samburu,778,85,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,98,3,4,NA,NA,NA,NA,NA,NA,NA,98,1,1,2,2,2,2,2,3,3,1,2,3,2,2,2,3,3,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
607,607,lolkeresire001,85,26/06/15,namunyak,ngilai west,golgoltim,lolkeresire,baseline,NRT,Samburu,778,85,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,98,3,4,NA,NA,NA,NA,NA,NA,NA,98,1,1,2,2,2,2,2,3,3,1,2,3,2,2,2,3,3,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
608,608,lolkeresire002,84,26/06/15,namunyak,ngilai west   ,golgoltim,lolkeresire,baseline,NRT,Samburu,777,84,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,98,98,3,4,NA,NA,NA,NA,NA,NA,NA,98,1,1,2,2,1,2,2,3,2,3,3,2,2,3,2,2,2,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
609,609,lolkeresire002,84,26/06/15,namunyak,ngilai west   ,golgoltim,lolkeresire,baseline,NRT,Samburu,777,84,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,98,98,3,4,NA,NA,NA,NA,NA,NA,NA,98,1,1,2,2,1,2,2,3,2,3,3,2,2,3,2,2,2,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
610,610,lolkeresire002,84,26/06/15,namunyak,ngilai west   ,golgoltim,lolkeresire,baseline,NRT,Samburu,84,84,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,98,98,3,4,NA,NA,NA,NA,NA,NA,NA,98,1,1,2,2,1,2,2,3,2,3,3,2,2,3,2,2,2,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
611,611,lolkeresire002,84,26/06/15,namunyak,ngilai west   ,golgoltim,lolkeresire,baseline,NRT,Samburu,84,84,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,98,98,3,4,NA,NA,NA,NA,NA,NA,NA,98,1,1,2,2,1,2,2,3,2,3,3,2,2,3,2,2,2,NA,NA,NA,1,2,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1
